approval_amount,contacted,email_contacted_ts,sms_contacted_ts,rent_or_own,months_at_current_residence,years_at_current_residence,direct_deposit,black_listed,language_preference,military_applicant,scheduled_payment_amt,number_of_payments,initial_decision,age
565.0,False,True,False,RENT,0,1,True,False,EN,False,40.81,52,APPROVED,26.0
316.0,False,True,False,RENT,0,2,True,False,ES,False,23.89,52,APPROVED,41.0
94.0,False,True,True,RENT,5,0,True,False,EN,False,12.68,52,APPROVED,31.0
87.0,False,True,True,OWN,0,6,True,False,EN,False,86.11,26,APPROVED,26.0
622.0,False,True,False,RENT,0,1,False,False,EN,False,183.76,52,APPROVED,22.0
625.0,False,True,True,OWN,0,1,True,False,EN,False,142.72,52,APPROVED,50.0
166.0,False,True,False,OWN,3,1,True,False,ES,False,60.23,26,APPROVED,36.0
16.0,False,True,False,RENT,0,1,True,False,EN,False,10.13,52,APPROVED,22.0
379.0,False,True,False,RENT,2,0,True,False,EN,False,134.37,24,APPROVED,23.0
150.0,False,True,True,RENT,1,0,True,False,EN,False,42.69,26,APPROVED,40.0
296.0,False,True,False,RENT,0,6,True,False,EN,False,48.45,12,APPROVED,54.0
675.0,False,True,True,OWN,0,6,False,False,EN,False,101.17,26,APPROVED,26.0
119.0,False,True,True,RENT,0,2,False,False,EN,False,49.59,24,APPROVED,41.0
67.0,False,True,True,RENT,1,0,False,False,EN,False,69.62,26,APPROVED,27.0
130.0,False,True,True,RENT,0,2,True,False,EN,False,25.0,52,APPROVED,41.0
166.0,False,True,True,RENT,0,2,False,False,ES,False,124.45,26,APPROVED,57.0
171.0,False,True,False,RENT,0,5,True,False,EN,False,238.35,52,APPROVED,51.0
290.0,False,True,True,RENT,0,3,True,False,EN,False,95.51,26,APPROVED,27.0
176.0,False,True,True,RENT,1,0,True,False,EN,False,109.39,26,APPROVED,30.0
478.0,False,True,True,RENT,2,0,True,False,EN,False,77.04,24,APPROVED,35.0
201.0,False,True,True,RENT,0,6,True,False,EN,False,145.16,26,APPROVED,42.0
151.0,False,True,True,RENT,0,1,True,False,EN,False,90.37,26,APPROVED,34.0
274.0,False,True,True,RENT,6,1,True,False,EN,False,23.86,52,APPROVED,21.0
704.0,False,True,True,RENT,8,4,True,False,EN,False,221.04,52,APPROVED,33.0
902.0,False,True,True,RENT,3,5,True,False,EN,False,123.36,24,APPROVED,26.0
34.0,False,False,True,RENT,0,6,True,False,EN,False,22.34,26,APPROVED,41.0
204.0,False,True,False,RENT,0,5,True,False,EN,False,56.83,52,APPROVED,63.0
40.0,False,True,True,OWN,0,6,True,False,EN,False,18.39,24,APPROVED,33.0
1434.0,False,True,True,RENT,10,5,True,False,EN,False,207.31,26,APPROVED,47.0
1011.0,False,True,False,RENT,9,16,True,False,EN,False,177.09,26,APPROVED,53.0
1089.0,False,True,True,OWN,0,3,True,False,EN,False,69.52,52,APPROVED,21.0
1218.0,False,True,True,OWN,11,6,False,False,EN,False,241.82,26,APPROVED,21.0
840.0,False,True,True,RENT,0,6,True,False,EN,False,193.65,24,APPROVED,39.0
932.0,False,True,False,RENT,1,2,False,False,EN,False,263.72,52,APPROVED,38.0
1818.0,False,True,False,RENT,0,3,True,False,EN,False,164.93,26,APPROVED,32.0
214.0,False,True,True,RENT,10,0,True,False,EN,False,183.92,24,APPROVED,68.0
86.0,False,True,False,RENT,0,15,True,False,EN,False,21.41,26,APPROVED,27.0
15.0,False,True,True,RENT,0,6,True,False,EN,False,28.82,26,APPROVED,29.0
234.0,False,True,True,OWN,0,2,False,False,EN,False,35.21,26,APPROVED,28.0
260.0,False,True,True,RENT,0,6,True,False,EN,False,35.73,26,APPROVED,23.0
640.0,False,True,False,RENT,0,2,False,False,EN,False,326.7,12,APPROVED,38.0
221.0,False,True,True,RENT,1,1,True,False,EN,False,83.98,26,APPROVED,37.0
253.0,False,True,True,RENT,0,6,True,False,ES,False,24.27,52,APPROVED,49.0
100.0,False,True,True,RENT,0,2,False,False,EN,False,117.74,24,APPROVED,62.0
546.0,False,True,True,RENT,3,2,True,False,EN,False,120.24,26,APPROVED,34.0
71.0,False,True,True,OWN,2,0,True,False,EN,False,55.38,26,APPROVED,30.0
230.0,False,False,True,RENT,5,1,True,False,EN,False,87.62,24,APPROVED,60.0
662.0,False,True,True,RENT,0,3,True,False,EN,False,100.84,24,APPROVED,45.0
585.0,False,True,True,RENT,1,0,True,False,EN,False,292.21,26,APPROVED,45.0
173.0,False,True,True,RENT,0,1,True,False,EN,False,115.79,26,APPROVED,43.0
455.0,False,True,True,OWN,0,6,False,False,EN,False,118.91,26,APPROVED,28.0
266.0,False,True,True,RENT,0,4,True,False,EN,False,113.88,12,APPROVED,62.0
142.0,False,True,True,OWN,11,6,True,False,EN,False,141.06,26,APPROVED,45.0
373.0,False,True,True,OWN,11,6,True,False,EN,False,68.48,52,APPROVED,23.0
401.0,False,True,True,OWN,10,5,True,False,EN,False,95.39,52,APPROVED,21.0
48.0,False,True,True,RENT,1,1,False,False,EN,False,42.27,26,APPROVED,38.0
263.0,False,True,False,RENT,0,3,True,False,EN,False,129.19,12,APPROVED,33.0
51.0,False,True,True,RENT,6,1,True,False,EN,False,31.66,24,APPROVED,41.0
433.0,False,True,False,RENT,0,6,True,False,EN,False,87.48,26,APPROVED,27.0
998.0,False,True,False,OWN,0,4,True,False,EN,False,141.92,26,APPROVED,30.0
140.0,False,True,False,RENT,11,6,False,False,ES,False,44.78,12,APPROVED,61.0
684.0,False,True,True,RENT,7,0,True,False,EN,False,69.57,52,APPROVED,27.0
522.0,False,True,True,RENT,0,6,False,False,EN,False,30.21,52,APPROVED,21.0
1223.0,False,True,True,RENT,3,2,True,False,EN,False,101.19,52,APPROVED,33.0
620.0,False,True,False,RENT,0,3,True,False,EN,False,170.99,12,APPROVED,48.0
322.0,False,True,False,OWN,0,1,True,False,EN,False,43.04,26,APPROVED,61.0
175.0,False,True,False,OWN,3,1,True,False,EN,False,65.94,26,APPROVED,29.0
230.0,False,True,False,RENT,9,4,True,False,EN,False,29.79,24,APPROVED,23.0
401.0,False,True,False,RENT,6,0,True,False,EN,False,30.75,52,APPROVED_WITH_CONDITIONS,32.0
55.0,False,True,True,RENT,2,3,True,False,EN,False,109.0,12,APPROVED,57.0
1137.0,False,True,True,OWN,4,0,False,False,EN,False,345.0,52,APPROVED,28.0
1141.0,False,True,True,RENT,0,1,True,False,EN,False,140.38,26,APPROVED,43.0
171.0,False,True,True,RENT,0,3,False,False,EN,False,25.13,24,APPROVED,57.0
70.0,False,True,True,RENT,4,0,False,False,EN,False,180.16,52,APPROVED,37.0
23.0,False,True,False,RENT,6,0,True,False,EN,False,58.97,24,APPROVED,28.0
361.0,False,True,False,RENT,0,4,False,False,EN,False,64.17,24,APPROVED,28.0
1321.0,False,True,True,RENT,0,6,True,False,EN,False,65.61,52,APPROVED,35.0
185.0,False,True,True,RENT,0,3,True,False,EN,False,30.41,52,APPROVED,29.0
170.0,False,True,True,RENT,0,2,True,False,EN,False,130.48,52,APPROVED,51.0
80.0,False,True,False,RENT,0,3,True,False,ES,False,78.24,12,APPROVED,35.0
520.0,False,True,True,RENT,0,11,False,False,EN,False,400.0,12,APPROVED,60.0
30.0,False,True,True,RENT,2,3,True,False,EN,False,18.67,52,APPROVED,40.0
495.0,False,True,True,RENT,0,6,True,False,EN,False,89.05,26,APPROVED,42.0
50.0,False,True,True,RENT,0,1,True,False,EN,False,183.7,12,APPROVED,50.0
102.0,False,True,False,OWN,0,6,True,False,EN,False,20.22,26,APPROVED,27.0
49.0,False,True,True,OWN,0,6,False,False,EN,False,79.02,26,APPROVED,55.0
1067.0,False,True,True,RENT,11,6,True,False,EN,False,321.64,26,APPROVED,59.0
807.0,False,True,True,RENT,0,6,True,False,EN,False,147.15,26,APPROVED,46.0
811.0,False,True,True,RENT,0,3,True,False,EN,False,289.4,12,APPROVED,35.0
861.0,False,True,True,RENT,7,0,True,False,EN,False,77.62,52,APPROVED,27.0
60.0,False,True,True,RENT,0,10,True,False,EN,False,59.69,26,APPROVED,38.0
289.0,False,True,False,RENT,11,6,True,False,EN,False,64.16,52,APPROVED,35.0
170.0,False,True,True,RENT,0,1,True,False,ES,False,135.51,26,APPROVED,24.0
440.0,False,True,False,RENT,0,3,True,False,EN,False,78.09,24,APPROVED_WITH_CONDITIONS,27.0
547.0,False,True,False,RENT,6,2,False,False,ES,False,160.86,24,APPROVED,42.0
23.0,False,True,False,RENT,1,1,True,False,EN,False,51.4,26,APPROVED,53.0
234.0,False,True,True,RENT,2,2,True,False,EN,False,24.58,52,APPROVED,20.0
104.0,False,True,True,RENT,0,2,True,False,EN,False,71.85,26,APPROVED,42.0
981.0,False,True,True,RENT,0,2,True,False,EN,False,350.1,52,APPROVED,57.0
618.0,False,True,True,OWN,0,6,False,False,EN,False,193.6,12,APPROVED,22.0
106.0,False,True,True,RENT,5,3,True,False,EN,False,63.46,26,APPROVED,39.0
1240.0,False,False,True,RENT,0,1,True,False,ES,False,89.1,52,APPROVED,40.0
170.0,False,True,True,OWN,2,0,True,False,EN,False,62.89,12,APPROVED,66.0
168.0,False,True,True,RENT,0,2,True,False,EN,False,334.56,12,APPROVED,44.0
1530.0,False,True,False,OWN,0,7,True,False,EN,False,508.2,12,APPROVED,49.0
229.0,False,True,True,RENT,5,3,True,False,EN,False,54.66,26,APPROVED,39.0
364.0,False,True,True,OWN,0,6,True,False,EN,False,79.48,24,APPROVED,48.0
97.0,False,True,False,OWN,11,6,True,False,EN,False,25.97,52,APPROVED,47.0
380.0,False,True,True,RENT,2,3,True,False,EN,False,85.75,26,APPROVED,35.0
48.0,False,True,False,OWN,0,6,True,False,EN,False,27.53,26,APPROVED,21.0
239.0,False,True,False,RENT,0,1,True,False,EN,False,52.6,26,APPROVED,39.0
143.0,False,True,True,OWN,0,1,True,False,EN,False,26.95,24,APPROVED,37.0
57.0,False,True,True,RENT,2,2,True,False,EN,False,93.12,24,APPROVED,50.0
380.0,False,True,True,RENT,6,2,True,False,EN,False,65.11,26,APPROVED,27.0
156.0,False,True,True,RENT,0,1,True,False,EN,False,28.67,24,APPROVED,59.0
107.0,False,True,True,RENT,0,2,True,False,EN,False,12.98,26,APPROVED,22.0
548.0,False,True,False,RENT,0,6,False,False,EN,False,35.42,52,APPROVED,24.0
249.0,False,True,True,RENT,0,1,True,False,EN,False,26.23,24,APPROVED,59.0
233.0,False,False,True,RENT,0,2,True,False,EN,False,163.62,26,APPROVED,36.0
66.0,False,True,True,RENT,0,2,True,False,EN,False,163.74,26,APPROVED,36.0
1009.0,False,True,True,RENT,0,3,True,False,ES,False,100.99,52,APPROVED,25.0
800.0,False,True,True,RENT,0,3,False,False,EN,False,249.66,26,APPROVED,32.0
178.0,False,True,True,RENT,0,3,False,False,EN,False,21.99,26,APPROVED,27.0
247.0,False,True,True,RENT,1,0,False,False,EN,False,48.35,26,APPROVED,26.0
669.0,False,True,True,RENT,0,3,True,False,EN,False,308.72,12,APPROVED,31.0
734.0,False,True,False,RENT,0,1,True,False,EN,False,232.84,12,APPROVED,53.0
267.0,False,True,False,RENT,7,0,True,False,EN,False,105.78,12,APPROVED,54.0
39.0,False,True,True,RENT,0,1,False,False,EN,False,36.1,26,APPROVED,47.0
1433.0,False,True,True,RENT,0,6,True,True,EN,False,500.16,26,APPROVED,51.0
343.0,False,True,False,RENT,0,1,False,False,EN,False,30.65,26,APPROVED,36.0
1201.0,False,True,True,RENT,3,4,True,False,EN,False,158.43,26,APPROVED,32.0
330.0,False,True,True,RENT,7,5,False,False,EN,False,99.81,26,APPROVED,19.0
1230.0,False,True,True,RENT,6,0,True,False,EN,False,92.46,52,APPROVED,35.0
91.0,False,True,True,RENT,0,6,True,False,EN,False,60.92,26,APPROVED,22.0
385.0,False,True,False,RENT,0,5,True,False,EN,False,73.95,26,APPROVED,23.0
82.0,False,True,True,OWN,0,6,True,False,EN,False,181.59,12,APPROVED,42.0
329.0,False,True,False,RENT,0,6,True,False,EN,False,49.17,26,APPROVED,57.0
585.0,False,True,False,RENT,0,2,True,False,EN,False,81.44,52,APPROVED,63.0
768.0,False,True,False,RENT,0,5,True,False,EN,False,149.83,26,APPROVED,27.0
204.0,False,True,True,OWN,0,6,True,False,EN,False,230.04,12,APPROVED,22.0
475.0,False,True,True,OWN,0,6,True,False,EN,False,231.81,52,APPROVED,24.0
314.0,False,True,True,OWN,0,6,True,False,EN,False,130.77,24,APPROVED,24.0
433.0,False,True,True,RENT,7,0,True,False,EN,False,107.96,52,APPROVED,29.0
51.0,False,False,True,RENT,3,2,True,False,EN,False,430.36,12,APPROVED,42.0
577.0,False,True,False,RENT,0,1,True,False,EN,False,190.52,12,APPROVED,25.0
246.0,False,True,True,RENT,0,1,True,False,EN,False,133.51,12,APPROVED,69.0
160.0,False,True,True,RENT,1,2,True,False,EN,False,80.26,26,APPROVED,46.0
978.0,False,True,True,OWN,0,6,True,False,EN,False,63.68,52,APPROVED,34.0
66.0,False,True,True,RENT,0,5,True,False,EN,False,17.37,52,APPROVED,29.0
24.0,False,True,True,RENT,0,3,True,False,EN,False,32.29,26,APPROVED,27.0
88.0,False,True,True,OWN,6,6,True,False,EN,False,102.86,26,APPROVED,44.0
375.0,False,True,True,RENT,2,1,False,False,EN,False,55.38,26,APPROVED,27.0
548.0,False,True,True,OWN,0,4,True,False,ES,False,84.12,52,APPROVED,36.0
178.0,False,True,True,RENT,5,2,True,False,EN,False,174.42,24,APPROVED,35.0
69.0,False,True,True,OWN,0,2,False,False,EN,False,89.08,24,APPROVED,49.0
1570.0,False,False,True,OWN,3,10,True,False,EN,False,250.86,26,APPROVED,42.0
1228.0,False,True,True,OWN,0,6,True,False,EN,False,286.45,12,APPROVED,73.0
367.0,False,True,False,OWN,0,6,True,False,EN,False,158.29,24,APPROVED,36.0
106.0,False,True,False,OWN,4,1,True,False,EN,False,151.65,26,APPROVED,46.0
743.0,False,True,True,OWN,0,2,True,False,EN,False,238.56,52,APPROVED,37.0
1569.0,False,True,False,RENT,0,6,True,False,EN,False,529.89,26,APPROVED,42.0
698.0,False,True,True,OWN,0,6,False,False,EN,False,275.0,12,APPROVED,30.0
101.0,False,True,True,OWN,0,6,False,False,EN,False,41.77,52,APPROVED,36.0
83.0,False,True,True,RENT,10,6,True,False,EN,False,112.78,26,APPROVED,58.0
560.0,False,True,True,RENT,3,3,True,False,EN,False,83.79,26,APPROVED,28.0
577.0,False,False,False,RENT,0,1,True,False,EN,False,59.46,52,APPROVED,32.0
128.0,False,True,True,RENT,0,6,True,False,EN,False,63.62,12,APPROVED,62.0
115.0,False,True,True,OWN,0,2,True,False,EN,False,31.14,26,APPROVED,55.0
388.0,False,True,False,OWN,0,3,True,False,EN,False,273.82,12,APPROVED,56.0
856.0,False,True,True,RENT,0,6,True,False,EN,False,188.64,26,APPROVED,32.0
329.0,False,True,True,OWN,0,30,True,False,EN,False,39.35,52,APPROVED,34.0
735.0,False,True,False,OWN,0,2,True,False,EN,False,286.97,12,APPROVED,54.0
150.0,False,True,True,OWN,2,3,True,False,EN,False,108.29,12,APPROVED,30.0
317.0,False,True,False,OWN,0,6,True,False,EN,False,31.88,52,APPROVED,37.0
141.0,False,True,False,OWN,0,5,False,False,EN,False,18.67,26,APPROVED,22.0
85.0,False,True,True,OWN,0,6,True,False,EN,False,68.18,26,APPROVED,54.0
864.0,False,True,False,RENT,5,5,False,False,EN,False,68.25,52,APPROVED,23.0
441.0,False,True,False,RENT,3,2,False,False,EN,False,32.6,52,APPROVED,36.0
446.0,False,True,False,RENT,1,0,True,False,EN,False,94.48,24,APPROVED,56.0
5.0,False,True,True,RENT,6,0,True,False,EN,False,14.55,52,APPROVED,37.0
233.0,False,True,True,RENT,11,6,True,False,EN,False,30.68,26,APPROVED,23.0
225.0,False,True,True,RENT,11,3,True,False,EN,False,26.77,26,APPROVED,45.0
288.0,False,True,False,RENT,0,1,True,False,ES,False,47.13,24,APPROVED,38.0
499.0,False,True,True,OWN,6,4,True,False,EN,False,112.32,26,APPROVED,50.0
344.0,False,True,True,OWN,0,1,True,False,EN,False,100.58,12,APPROVED,27.0
556.0,False,True,True,OWN,0,2,True,False,EN,False,50.34,52,APPROVED,29.0
284.0,False,True,True,RENT,0,2,True,False,EN,False,36.81,26,APPROVED,22.0
1046.0,False,True,False,OWN,0,3,False,False,EN,False,138.5,26,APPROVED,27.0
1560.0,False,True,True,OWN,5,4,True,False,EN,False,170.65,26,APPROVED,38.0
297.0,False,True,True,RENT,0,6,True,False,EN,False,193.33,24,APPROVED,40.0
290.0,False,True,True,RENT,0,6,True,False,EN,False,115.67,52,APPROVED,40.0
70.0,False,True,True,RENT,3,4,True,False,EN,False,132.02,12,APPROVED,67.0
552.0,False,True,True,RENT,0,2,True,False,EN,False,74.96,26,APPROVED,21.0
98.0,False,True,False,OWN,2,6,True,False,EN,False,58.22,24,APPROVED,39.0
57.0,False,True,True,OWN,0,6,True,False,EN,False,70.66,26,APPROVED,48.0
1151.0,False,True,False,OWN,1,2,True,False,EN,False,381.74,12,APPROVED,55.0
457.0,False,True,True,OWN,0,6,True,False,EN,False,132.97,12,APPROVED,68.0
734.0,False,True,True,RENT,6,3,True,False,EN,False,457.79,26,APPROVED,25.0
72.0,False,True,True,RENT,0,2,True,False,EN,False,78.9,26,APPROVED,54.0
200.0,False,True,True,RENT,4,3,False,False,EN,False,26.15,26,APPROVED,25.0
393.0,False,True,True,RENT,0,2,True,False,EN,False,25.98,52,APPROVED,38.0
598.0,False,True,False,RENT,6,0,True,False,EN,False,149.54,26,APPROVED,31.0
309.0,False,True,True,RENT,6,6,False,False,EN,False,40.72,26,APPROVED,29.0
100.0,False,True,True,RENT,8,0,False,False,EN,False,112.2,26,APPROVED,52.0
423.0,False,True,True,RENT,3,4,True,False,EN,False,65.82,24,APPROVED,25.0
196.0,False,False,True,RENT,6,0,True,False,EN,False,56.97,26,APPROVED,32.0
186.0,False,True,False,RENT,0,6,False,False,EN,False,37.52,52,APPROVED,39.0
783.0,False,True,True,RENT,0,1,False,False,EN,False,54.09,52,APPROVED,48.0
98.0,False,True,False,OWN,0,4,True,False,EN,False,48.97,26,APPROVED,32.0
320.0,False,False,True,OWN,7,4,False,False,EN,False,26.34,52,APPROVED,38.0
528.0,False,True,False,OWN,0,6,True,False,EN,False,76.18,26,APPROVED,54.0
221.0,False,True,True,RENT,0,4,False,False,EN,False,29.62,12,APPROVED,21.0
215.0,False,True,True,OWN,0,3,True,False,EN,False,69.71,26,APPROVED,65.0
1628.0,False,True,False,OWN,0,6,True,False,EN,False,110.32,52,APPROVED,32.0
21.0,False,True,True,RENT,0,4,True,False,EN,False,99.56,26,APPROVED,57.0
1464.0,False,True,False,OWN,3,3,True,False,EN,False,112.21,52,APPROVED,37.0
681.0,False,True,False,RENT,0,6,True,False,EN,False,204.42,12,APPROVED,40.0
294.0,False,True,True,RENT,2,6,True,False,EN,False,50.72,26,APPROVED,43.0
105.0,False,True,True,RENT,0,2,True,False,EN,False,52.37,26,APPROVED,29.0
223.0,False,True,True,RENT,6,1,False,False,EN,False,29.32,24,APPROVED,30.0
161.0,False,True,True,RENT,5,0,True,False,EN,False,50.99,24,APPROVED,45.0
629.0,False,True,False,RENT,1,1,True,False,EN,False,103.73,24,APPROVED,25.0
899.0,False,False,True,RENT,6,2,False,False,ES,False,134.16,26,APPROVED,48.0
90.0,False,True,True,RENT,8,3,True,False,EN,False,44.91,26,APPROVED,44.0
442.0,False,True,True,RENT,0,41,True,False,EN,False,71.2,26,APPROVED,50.0
381.0,False,True,True,RENT,1,0,True,False,EN,False,62.82,26,APPROVED,40.0
346.0,False,True,True,OWN,0,6,False,False,EN,False,86.3,24,APPROVED,24.0
330.0,False,True,True,RENT,8,1,True,False,ES,False,98.14,26,APPROVED,43.0
275.0,False,True,True,RENT,0,1,True,False,EN,False,94.37,26,APPROVED,53.0
55.0,False,True,True,RENT,0,2,True,False,EN,False,49.93,24,APPROVED,24.0
393.0,True,True,True,OWN,0,2,True,False,EN,False,45.27,52,APPROVED,29.0
824.0,False,True,False,RENT,0,5,True,False,EN,False,286.16,12,APPROVED,35.0
1012.0,False,True,True,RENT,0,1,True,False,EN,False,151.77,26,APPROVED,45.0
65.0,False,True,True,RENT,0,6,True,False,EN,False,82.36,12,APPROVED,65.0
651.0,False,False,True,OWN,0,6,True,False,EN,False,217.24,26,APPROVED,49.0
394.0,False,True,False,RENT,0,6,True,False,EN,False,172.19,24,APPROVED,46.0
34.0,False,True,True,RENT,6,1,True,False,EN,False,6.01,52,APPROVED,27.0
132.0,False,True,True,RENT,0,1,True,False,EN,False,50.78,26,APPROVED,33.0
1444.0,False,True,True,RENT,1,0,True,False,EN,False,192.38,26,APPROVED,30.0
436.0,False,True,True,OWN,0,6,True,False,EN,False,217.89,52,APPROVED,28.0
165.0,True,True,False,OWN,0,6,True,False,EN,False,187.23,12,APPROVED,56.0
379.0,False,True,False,RENT,0,6,True,False,EN,False,72.78,24,APPROVED,30.0
240.0,False,True,False,RENT,0,5,False,False,EN,False,84.64,52,APPROVED,51.0
288.0,False,True,False,RENT,0,4,True,False,EN,False,35.72,26,APPROVED,39.0
650.0,False,True,True,RENT,2,0,False,False,EN,False,97.57,24,APPROVED,52.0
103.0,False,True,True,RENT,0,5,True,False,EN,False,16.58,52,APPROVED,60.0
149.0,False,True,True,OWN,0,5,True,False,EN,False,103.39,26,APPROVED,42.0
136.0,False,True,True,OWN,0,6,True,False,EN,False,77.01,26,APPROVED,56.0
913.0,False,True,True,OWN,0,1,False,False,EN,False,323.32,12,APPROVED,54.0
107.0,False,True,True,RENT,0,1,True,False,EN,False,181.91,12,APPROVED,36.0
267.0,False,True,False,RENT,0,5,True,False,EN,False,110.91,12,APPROVED,44.0
446.0,False,True,True,RENT,4,0,True,False,EN,False,32.76,52,APPROVED,31.0
49.0,False,True,True,RENT,10,0,True,False,EN,False,22.38,52,APPROVED,40.0
857.0,False,True,False,OWN,0,6,True,False,EN,False,115.39,52,APPROVED,58.0
607.0,False,True,False,RENT,2,1,True,False,EN,False,240.89,26,APPROVED,27.0
402.0,False,True,True,OWN,0,6,True,False,EN,False,542.98,52,APPROVED,30.0
223.0,False,False,True,OWN,11,6,True,False,EN,False,11.27,52,APPROVED,46.0
838.0,False,False,True,OWN,4,0,True,False,EN,False,72.96,52,APPROVED,23.0
361.0,False,True,True,RENT,7,4,True,False,EN,False,105.59,26,APPROVED,23.0
774.0,False,True,True,RENT,5,3,True,False,EN,False,104.39,12,APPROVED,23.0
728.0,False,True,True,RENT,0,5,True,False,EN,False,234.71,12,APPROVED,61.0
866.0,False,True,True,RENT,0,3,False,False,EN,False,133.76,24,APPROVED,24.0
215.0,False,True,True,RENT,1,1,True,False,EN,False,31.09,26,APPROVED,45.0
581.0,False,True,True,OWN,0,6,True,False,EN,False,74.63,26,APPROVED,60.0
399.0,False,True,False,OWN,0,4,True,False,EN,False,60.49,26,APPROVED,52.0
30.0,False,True,True,RENT,0,1,True,False,EN,False,73.97,26,APPROVED,54.0
696.0,False,True,True,OWN,11,6,False,False,EN,False,307.47,12,APPROVED,24.0
80.0,False,True,True,OWN,0,6,True,False,EN,False,79.94,52,APPROVED,22.0
118.0,False,True,True,OWN,0,5,False,False,EN,False,156.63,26,APPROVED,50.0
56.0,False,True,True,RENT,0,1,True,False,EN,False,88.28,24,APPROVED,24.0
887.0,False,True,True,OWN,11,6,True,False,EN,False,145.49,26,APPROVED,34.0
249.0,False,True,False,OWN,0,5,True,False,EN,False,37.58,26,APPROVED,41.0
25.0,False,True,False,RENT,4,4,True,False,EN,False,56.48,24,APPROVED,26.0
403.0,False,True,True,OWN,0,6,True,False,EN,False,69.8,24,APPROVED,50.0
281.0,False,True,False,RENT,0,6,True,False,EN,False,16.3,52,APPROVED,29.0
184.0,False,True,True,RENT,0,1,True,False,EN,False,141.39,24,APPROVED,35.0
102.0,False,True,False,OWN,0,6,True,False,EN,False,81.56,26,APPROVED,45.0
778.0,False,True,False,RENT,4,2,True,False,EN,False,154.76,52,APPROVED,45.0
155.0,False,False,True,OWN,0,6,True,False,EN,False,171.01,26,APPROVED,29.0
187.0,False,True,True,OWN,0,1,False,False,EN,False,62.23,24,APPROVED,55.0
40.0,False,True,True,RENT,0,5,True,False,EN,False,34.6,52,APPROVED,30.0
599.0,False,True,True,RENT,6,0,False,False,EN,False,696.71,52,APPROVED,34.0
134.0,False,True,True,RENT,0,3,True,False,EN,False,145.07,24,APPROVED,47.0
167.0,False,True,False,RENT,0,1,True,False,EN,False,19.6,26,APPROVED,25.0
602.0,False,True,True,RENT,0,1,True,False,EN,False,91.8,26,APPROVED,22.0
472.0,False,True,True,OWN,0,3,True,False,EN,False,80.22,26,APPROVED,47.0
107.0,False,True,True,RENT,0,2,True,False,EN,False,50.26,52,APPROVED,25.0
705.0,False,True,True,RENT,8,3,True,False,EN,False,341.79,12,APPROVED,47.0
232.0,False,True,False,OWN,0,1,True,False,EN,False,201.84,12,APPROVED,35.0
582.0,False,True,False,RENT,6,6,True,False,EN,False,79.99,26,APPROVED,29.0
177.0,False,True,True,RENT,1,0,True,False,EN,False,23.75,52,APPROVED,31.0
208.0,False,True,True,RENT,1,3,True,False,EN,False,53.87,12,APPROVED,69.0
645.0,False,True,True,RENT,11,6,True,False,EN,False,83.58,26,APPROVED,22.0
809.0,False,True,False,RENT,0,1,True,False,EN,False,118.25,26,APPROVED,39.0
229.0,False,False,True,RENT,0,1,True,False,EN,False,133.9,12,APPROVED,25.0
989.0,False,True,True,OWN,0,6,True,False,EN,False,155.03,26,APPROVED,26.0
835.0,False,True,True,OWN,6,1,True,False,ES,False,135.47,26,APPROVED,40.0
240.0,False,True,True,RENT,11,6,False,False,EN,False,44.51,24,APPROVED,29.0
